CÓDIGO ;PRODUTO ;CUSTO;VENDA;DESCONTO A VISTA 
;ASTRA SUPORTE DE MANGUEIRA PLASTICO PMJ*VD5;13.69;21.9;19.557142857142857
;ATLAS ASSENTO ALMOFADADO OVAL BRANCO;51.29;77.0;73.27142857142857
;ATLAS ASSENTO SANITARIO ALMOFADADO QUADRADO;80.98;125.0;115.6857142857143
;ATLAS ROLO 23CM RENDEPLUS;10.99;18.0;15.700000000000001
;ATLAS ROLO DE TEXTURA 23CM MEDIA/RUSTICA;14.95;24.0;21.357142857142858
;ATLAS ROLO ESPUMA AMARELA 15CM;6.6;10.2;9.428571428571429
;ATLAS ROLO ESPUMA CZ 23CM;10.51;17.0;15.014285714285714
;ATLAS ROLO ESPUMA CZ 5CM;3.2;4.95;4.571428571428572
;ATLAS ROLO ESPUMA CZ 9CM ;3.1;4.9;4.428571428571429
;ATLAS ROLO LÃ ANTI-GOTA 23CM ;17.42;27.0;24.88571428571429
7896380193998.0;ATLAS ROLO LA ANTI-RESPINGO ECONOMICO 23CM RED 773/10;7.99;12.9;11.414285714285715
;ATLAS ROLO LA MISTA 15CM;9.17;15.5;13.100000000000001
;ATLAS ROLO LA MISTA 9CM;7.3;11.5;10.428571428571429
;ATLAS SUPORTE ROLO DE PINTURA GARFO GAIOLA 23CM;7.05;12.0;10.071428571428571
;ATLAS SUPORTE ROLO PINTURA GARFO 23CM ;9.09;14.0;12.985714285714286
;ATLAS TRINCHA 1;2.5;3.85;3.5714285714285716
7896380103539.0;ATLAS TRINCHA 1.1/2;3.5;5.5;5.0
;ATLAS TRINCHA 1/2;1.7;2.65;2.428571428571429
;ATLAS TRINCHA 2;4.6;7.0;6.571428571428571
;ATLAS TRINCHA 2.1/2;5.5;8.5;7.857142857142858
;ATLAS TRINCHA 3;7.8;12.0;11.142857142857144
7896380103515.0;ATLAS TRINCHA 3/4;1.81;2.8;2.585714285714286
7896380103577.0;ATLAS TRINCHA 4;10.0;15.4;14.285714285714286
;AUMENTO AMARELO MEDIO 1/2;5.9;9.5;8.428571428571429
;Aumento Amarelo Reverso 1/2x3/4;7.4;10.0;10.571428571428573
7891333086242.0;BACIA QUAD INCEPA THEMA C/ FURO P/ CX ACOPLADA;339.0;525.0;484.28571428571433
;BALDE CRISTAL 23KG;115.0;138.0;164.2857142857143
;BALDE METALICO 12L;19.9;30.0;28.428571428571427
;BALDE PLASTICO C/ ALÇA;6.84;15.0;9.771428571428572
;BARICAR BARRA DE APOIO 040CM BRANCO;31.32;49.9;44.74285714285715
;BARICAR BARRA DE APOIO 060CM BRANCO;33.48;52.8;47.82857142857143
;BARICAR BARRA DE APOIO 060CM CROMADO;51.82;79.9;74.02857142857144
;BARICAR BARRA DE APOIO 080CM BRANCO;38.21;59.9;54.58571428571429
;BARICAR BARRA DE APOIO 100CM BRANCO;44.42;73.65;63.45714285714286
7898933672134.0;BARICAR DESEMPENADEIRA AZUL 18X30;8.8;13.9;12.571428571428573
;BARICAR ESPATULA AÇO 10CM;4.9;8.0;7.000000000000001
;BARICAR ESPATULA AÇO 12CM;5.4;9.0;7.714285714285715
;BARICAR ESPATULA AÇO 8CM;4.6;7.5;6.571428571428571
;BARICAR ESPATULA SILICONE;1.8;5.0;2.5714285714285716
;BARRA ROSCADA POLIDA  1/2;18.5;29.8;26.42857142857143
;BARRA ROSCADA POLIDA  1/4;3.0;7.8;4.285714285714286
;BARRA ROSCADA POLIDA  3/8;6.16;14.2;8.8
;BARRA ROSCADA POLIDA  5/16;4.77;10.2;6.814285714285714
;BARRA ROSCADA POLIDA 3/16;2.7;5.0;3.8571428571428577
;BARRAMENTO PENTE BIPOLAR CM;0.69;1.2;0.9857142857142857
;BARRAMENTO PENTE TRIPOLAR CM;0.99;1.6;1.4142857142857144
;BARRAMENTO PENTE UNIPOLAR CM;0.31;0.8;0.4428571428571429
;BASE DISCO 4'' BORRACHA COM VELCRO COM ADAPTADOR;25.37;40.0;36.24285714285715
;BASE DISCO 4'' BORRACHA COM VELCRO SEM ADAPTADOR;12.0;19.5;17.142857142857142
;BASE DISCO 7'' BORRACHA COM VELCRO COM ADAPTADOR;30.62;48.0;43.74285714285715
;BASE DISCO 7'' BORRACHA COM VELCRO SEM ADAPTADOR;17.9;28.0;25.57142857142857
;BASE REGISTRO GAVETA 3/4 DECA;26.9;42.0;38.42857142857143
;BASE REGISTRO PRESSAO 3/4 DECA S/ ACABAMENTO;38.97;60.0;55.67142857142857
;BASE VALVULA DOCOL;107.9;167.0;154.14285714285717
;BATALHAO MAXIM-AR CRYSTAL QUAD 50X50X12;133.99;210.0;191.41428571428574
;BATALHAO MAXIM-AR CRYSTAL QUAD 60X60X12;173.11;272.0;247.30000000000004
;BATALHAO MAXIM-AR STAN QUAD 50X50X12 CRU;77.24;135.0;110.34285714285714
;BATALHAO PORTA C/ GRADE QUAD CRYSAL 80;694.16;860.0;991.6571428571428
;BATALHAO PORTA LAMINADA POP 80 BATENTE 12 (CRUA);180.0;320.0;257.14285714285717
;BATALHAO PORTA LAMINADA PREMIUM 80 BATENTE 12 (CRUA);294.54;480.0;420.7714285714286
;BATALHAO PORTA LAMINADA SLIM 80/70 BATENTE 12 (CRUA);226.17;350.0;323.1
;BATALHAO PORTA MADEIRA C/ PORTAL 80;239.9;370.0;342.7142857142857
;BATALHAO PORTA PRONTA MADEIRA 70/80 CM CEREJEIRA/MOGNO/IMBUIA;124.0;205.0;177.14285714285717
;BATALHAO PORTA PTA CRYSTAL LAMINADA PRONTA BRANCA 84X215X12;511.9;790.0;731.2857142857143
;BATALHAO VENEZIANA CRYSTAL QUAD 120X100X12;524.6;810.0;749.4285714285716
;BATALHAO VENEZIANA CRYSTAL QUAD 150X100X12;557.61;860.0;796.5857142857144
;BATALHAO VENEZIANA SLIM QUAD 120X100X12 (CRU);195.02;320.0;278.6
;BATALHAO VITRO 4FOLHAS C/ GRADE LISO 120X100X80 BRC L16;429.48;665.0;613.5428571428572
;BATALHAO VITRO 4FOLHAS C/ GRADE LISO 150X100X80 BRC L16;491.3;762.0;701.8571428571429
;BATALHAO VITRO SLIM QUAD 120X100X12 (CRU);191.89;300.0;274.12857142857143
;BATALHAO VITRO SLIM QUAD 150X100X12 (CRU);211.91;330.0;302.72857142857146
;BATEDOR DE TINTA;32.0;50.0;45.714285714285715
;BATERIA PILHA ENERGIZER 2025;3.44;8.0;4.914285714285715
;BETUME NOVATINTAS 100ML;6.71;10.5;9.585714285714285
;BICO TORNEIRA METAL;2.5;5.0;3.5714285714285716
;BICO TORNEIRA PVC;1.0;5.0;1.4285714285714286
;BLACK DECKER ESMERILHADEIRA ANGULAR 4.1/2 650W 127V;149.66;235.0;213.8
;BLACK DECKER FURADEIRA IMPACTO 1/2 560W 127V C/ MALETA;185.76;297.0;265.37142857142857
;BLACK DECKER FURADEIRA IMPACTO 3/8 (10MM) 560W 127V;131.2;228.0;187.42857142857142
;BLACK DECKER PARAFUSAD/FURAD.12V C/13 ACESS+CAIXA;199.64;310.0;285.2
;BLACK DECKER PARAFUSAD/FURAD.12V C/31 ACESS+MALETA;214.93;345.9;307.04285714285714
;BLACK DECKER SERRA TICO TICO 400W 127V;200.96;325.0;287.0857142857143
;BLOCO 6 FUROS;0.83;1.0;1.1857142857142857
;BLOCO 8 FUROS;0.6;0.8;0.8571428571428572
7898550250296.0;BLUKIT REPARO CAIXA ACOPLADA MECANISMO DE SAIDA SUPERIOR;35.9;56.0;51.285714285714285
7898550250845.0;BLUKIT REPARO CAIXA ACOPLADA MECANISMO ENTRADA;43.9;68.0;62.714285714285715
;BOIA BEBEDOURO PEQUENA;5.8;9.0;8.285714285714286
;BOIA CAIXA DESCARGA ALUMASA;10.58;16.5;15.114285714285716
;BOMBA MANUAL E MANOMETRO 32X500MM;59.49;92.0;84.9857142857143
;BORRACHA ANEL LUVA DE CORRER ESG 100;3.1;5.0;4.428571428571429
;BORRACHA ANEL LUVA DE CORRER ESG 40 PLASTILIT;0.83;1.3;1.1857142857142857
;BORRACHA ANEL LUVA DE CORRER ESG 50 PLASTILIT;0.95;1.5;1.3571428571428572
;BORRACHA ANEL LUVA DE CORRER ESG 75 PLASTILIT;1.3;2.0;1.8571428571428574
;BORRACHA ANEL LUVA DE CORRER SOLD 20 1/2 555;2.6;5.0;3.714285714285715
;BORRACHA ANEL LUVA DE CORRER SOLD 25;1.15;3.0;1.6428571428571428
;BOTA PVC SOLA AMARELA;30.12;50.0;43.02857142857143
